Date,Close,High,Low,Open,Volume,Sector,Close.1,High.1,Low.1,Open.1,Volume.1,Close.2,High.2,Low.2,Open.2,Volume.2,Close.3,High.3,Low.3,Open.3,Volume.3,Close.4,High.4,Low.4,Open.4,Volume.4,"('Date', '')","('Close', '^CNXIT')","('High', '^CNXIT')","('Low', '^CNXIT')","('Open', '^CNXIT')","('Volume', '^CNXIT')","('Sector', '')","('Close', '^NSEBANK')","('High', '^NSEBANK')","('Low', '^NSEBANK')","('Open', '^NSEBANK')","('Volume', '^NSEBANK')","('Close', '^CNXFMCG')","('High', '^CNXFMCG')","('Low', '^CNXFMCG')","('Open', '^CNXFMCG')","('Volume', '^CNXFMCG')","('Close', '^CNXAUTO')","('High', '^CNXAUTO')","('Low', '^CNXAUTO')","('Open', '^CNXAUTO')","('Volume', '^CNXAUTO')","('Close', '^CNXPHARMA')","('High', '^CNXPHARMA')","('Low', '^CNXPHARMA')","('Open', '^CNXPHARMA')","('Volume', '^CNXPHARMA')","('Date', '').1","('Close', '^CNXIT').1","('High', '^CNXIT').1","('Low', '^CNXIT').1","('Open', '^CNXIT').1","('Volume', '^CNXIT').1","('Sector', '').1","('Close', '^NSEBANK').1","('High', '^NSEBANK').1","('Low', '^NSEBANK').1","('Open', '^NSEBANK').1","('Volume', '^NSEBANK').1","('Close', '^CNXFMCG').1","('High', '^CNXFMCG').1","('Low', '^CNXFMCG').1","('Open', '^CNXFMCG').1","('Volume', '^CNXFMCG').1","('Close', '^CNXAUTO').1","('High', '^CNXAUTO').1","('Low', '^CNXAUTO').1","('Open', '^CNXAUTO').1","('Volume', '^CNXAUTO').1","('Close', '^CNXPHARMA').1","('High', '^CNXPHARMA').1","('Low', '^CNXPHARMA').1","('Open', '^CNXPHARMA').1","('Volume', '^CNXPHARMA').1","('Date', '').2","('Close', '^CNXIT').2","('High', '^CNXIT').2","('Low', '^CNXIT').2","('Open', '^CNXIT').2","('Volume', '^CNXIT').2","('Sector', '').2","('Close', '^NSEBANK').2","('High', '^NSEBANK').2","('Low', '^NSEBANK').2","('Open', '^NSEBANK').2","('Volume', '^NSEBANK').2","('Close', '^CNXFMCG').2","('High', '^CNXFMCG').2","('Low', '^CNXFMCG').2","('Open', '^CNXFMCG').2","('Volume', '^CNXFMCG').2","('Close', '^CNXAUTO').2","('High', '^CNXAUTO').2","('Low', '^CNXAUTO').2","('Open', '^CNXAUTO').2","('Volume', '^CNXAUTO').2","('Close', '^CNXPHARMA').2","('High', '^CNXPHARMA').2","('Low', '^CNXPHARMA').2","('Open', '^CNXPHARMA').2","('Volume', '^CNXPHARMA').2","('Date', '').3","('Close', '^CNXIT').3","('High', '^CNXIT').3","('Low', '^CNXIT').3","('Open', '^CNXIT').3","('Volume', '^CNXIT').3","('Sector', '').3","('Close', '^NSEBANK').3","('High', '^NSEBANK').3","('Low', '^NSEBANK').3","('Open', '^NSEBANK').3","('Volume', '^NSEBANK').3","('Close', '^CNXFMCG').3","('High', '^CNXFMCG').3","('Low', '^CNXFMCG').3","('Open', '^CNXFMCG').3","('Volume', '^CNXFMCG').3","('Close', '^CNXAUTO').3","('High', '^CNXAUTO').3","('Low', '^CNXAUTO').3","('Open', '^CNXAUTO').3","('Volume', '^CNXAUTO').3","('Close', '^CNXPHARMA').3","('High', '^CNXPHARMA').3","('Low', '^CNXPHARMA').3","('Open', '^CNXPHARMA').3","('Volume', '^CNXPHARMA').3","('Date', '').4","('Close', '^CNXIT').4","('High', '^CNXIT').4","('Low', '^CNXIT').4","('Open', '^CNXIT').4","('Volume', '^CNXIT').4","('Sector', '').4","('Close', '^NSEBANK').4","('High', '^NSEBANK').4","('Low', '^NSEBANK').4","('Open', '^NSEBANK').4","('Volume', '^NSEBANK').4","('Close', '^CNXFMCG').4","('High', '^CNXFMCG').4","('Low', '^CNXFMCG').4","('Open', '^CNXFMCG').4","('Volume', '^CNXFMCG').4","('Close', '^CNXAUTO').4","('High', '^CNXAUTO').4","('Low', '^CNXAUTO').4","('Open', '^CNXAUTO').4","('Volume', '^CNXAUTO').4","('Close', '^CNXPHARMA').4","('High', '^CNXPHARMA').4","('Low', '^CNXPHARMA').4","('Open', '^CNXPHARMA').4","('Volume', '^CNXPHARMA').4","('Date', '').5","('Close', '^CNXIT').5","('High', '^CNXIT').5","('Low', '^CNXIT').5","('Open', '^CNXIT').5","('Volume', '^CNXIT').5","('Sector', '').5","('Close', '^NSEBANK').5","('High', '^NSEBANK').5","('Low', '^NSEBANK').5","('Open', '^NSEBANK').5","('Volume', '^NSEBANK').5","('Close', '^CNXFMCG').5","('High', '^CNXFMCG').5","('Low', '^CNXFMCG').5","('Open', '^CNXFMCG').5","('Volume', '^CNXFMCG').5","('Close', '^CNXAUTO').5","('High', '^CNXAUTO').5","('Low', '^CNXAUTO').5","('Open', '^CNXAUTO').5","('Volume', '^CNXAUTO').5","('Close', '^CNXPHARMA').5","('High', '^CNXPHARMA').5","('Low', '^CNXPHARMA').5","('Open', '^CNXPHARMA').5","('Volume', '^CNXPHARMA').5","('Date', '').6","('Close', '^CNXIT').6","('High', '^CNXIT').6","('Low', '^CNXIT').6","('Open', '^CNXIT').6","('Volume', '^CNXIT').6","('Sector', '').6","('Close', '^NSEBANK').6","('High', '^NSEBANK').6","('Low', '^NSEBANK').6","('Open', '^NSEBANK').6","('Volume', '^NSEBANK').6","('Close', '^CNXFMCG').6","('High', '^CNXFMCG').6","('Low', '^CNXFMCG').6","('Open', '^CNXFMCG').6","('Volume', '^CNXFMCG').6","('Close', '^CNXAUTO').6","('High', '^CNXAUTO').6","('Low', '^CNXAUTO').6","('Open', '^CNXAUTO').6","('Volume', '^CNXAUTO').6","('Close', '^CNXPHARMA').6","('High', '^CNXPHARMA').6","('Low', '^CNXPHARMA').6","('Open', '^CNXPHARMA').6","('Volume', '^CNXPHARMA').6","('Date', '').7","('Close', '^CNXIT').7","('High', '^CNXIT').7","('Low', '^CNXIT').7","('Open', '^CNXIT').7","('Volume', '^CNXIT').7","('Sector', '').7","('Close', '^NSEBANK').7","('High', '^NSEBANK').7","('Low', '^NSEBANK').7","('Open', '^NSEBANK').7","('Volume', '^NSEBANK').7","('Close', '^CNXFMCG').7","('High', '^CNXFMCG').7","('Low', '^CNXFMCG').7","('Open', '^CNXFMCG').7","('Volume', '^CNXFMCG').7","('Close', '^CNXAUTO').7","('High', '^CNXAUTO').7","('Low', '^CNXAUTO').7","('Open', '^CNXAUTO').7","('Volume', '^CNXAUTO').7","('Close', '^CNXPHARMA').7","('High', '^CNXPHARMA').7","('Low', '^CNXPHARMA').7","('Open', '^CNXPHARMA').7","('Volume', '^CNXPHARMA').7","('Date', '').8","('Close', '^CNXIT').8","('High', '^CNXIT').8","('Low', '^CNXIT').8","('Open', '^CNXIT').8","('Volume', '^CNXIT').8","('Sector', '').8","('Close', '^NSEBANK').8","('High', '^NSEBANK').8","('Low', '^NSEBANK').8","('Open', '^NSEBANK').8","('Volume', '^NSEBANK').8","('Close', '^CNXFMCG').8","('High', '^CNXFMCG').8","('Low', '^CNXFMCG').8","('Open', '^CNXFMCG').8","('Volume', '^CNXFMCG').8","('Close', '^CNXAUTO').8","('High', '^CNXAUTO').8","('Low', '^CNXAUTO').8","('Open', '^CNXAUTO').8","('Volume', '^CNXAUTO').8","('Close', '^CNXPHARMA').8","('High', '^CNXPHARMA').8","('Low', '^CNXPHARMA').8","('Open', '^CNXPHARMA').8","('Volume', '^CNXPHARMA').8","('Date', '').9","('Close', '^CNXIT').9","('High', '^CNXIT').9","('Low', '^CNXIT').9","('Open', '^CNXIT').9","('Volume', '^CNXIT').9","('Sector', '').9","('Close', '^NSEBANK').9","('High', '^NSEBANK').9","('Low', '^NSEBANK').9","('Open', '^NSEBANK').9","('Volume', '^NSEBANK').9","('Close', '^CNXFMCG').9","('High', '^CNXFMCG').9","('Low', '^CNXFMCG').9","('Open', '^CNXFMCG').9","('Volume', '^CNXFMCG').9","('Close', '^CNXAUTO').9","('High', '^CNXAUTO').9","('Low', '^CNXAUTO').9","('Open', '^CNXAUTO').9","('Volume', '^CNXAUTO').9","('Close', '^CNXPHARMA').9","('High', '^CNXPHARMA').9","('Low', '^CNXPHARMA').9","('Open', '^CNXPHARMA').9","('Volume', '^CNXPHARMA').9","('Date', '').10","('Close', '^CNXIT').10","('High', '^CNXIT').10","('Low', '^CNXIT').10","('Open', '^CNXIT').10","('Volume', '^CNXIT').10","('Sector', '').10","('Close', '^NSEBANK').10","('High', '^NSEBANK').10","('Low', '^NSEBANK').10","('Open', '^NSEBANK').10","('Volume', '^NSEBANK').10","('Close', '^CNXFMCG').10","('High', '^CNXFMCG').10","('Low', '^CNXFMCG').10","('Open', '^CNXFMCG').10","('Volume', '^CNXFMCG').10","('Close', '^CNXAUTO').10","('High', '^CNXAUTO').10","('Low', '^CNXAUTO').10","('Open', '^CNXAUTO').10","('Volume', '^CNXAUTO').10","('Close', '^CNXPHARMA').10","('High', '^CNXPHARMA').10","('Low', '^CNXPHARMA').10","('Open', '^CNXPHARMA').10","('Volume', '^CNXPHARMA').10","('Date', '').11","('Close', '^CNXIT').11","('High', '^CNXIT').11","('Low', '^CNXIT').11","('Open', '^CNXIT').11","('Volume', '^CNXIT').11","('Sector', '').11","('Close', '^NSEBANK').11","('High', '^NSEBANK').11","('Low', '^NSEBANK').11","('Open', '^NSEBANK').11","('Volume', '^NSEBANK').11","('Close', '^CNXFMCG').11","('High', '^CNXFMCG').11","('Low', '^CNXFMCG').11","('Open', '^CNXFMCG').11","('Volume', '^CNXFMCG').11","('Close', '^CNXAUTO').11","('High', '^CNXAUTO').11","('Low', '^CNXAUTO').11","('Open', '^CNXAUTO').11","('Volume', '^CNXAUTO').11","('Close', '^CNXPHARMA').11","('High', '^CNXPHARMA').11","('Low', '^CNXPHARMA').11","('Open', '^CNXPHARMA').11","('Volume', '^CNXPHARMA').11","('Date', '').12","('Close', '^CNXIT').12","('High', '^CNXIT').12","('Low', '^CNXIT').12","('Open', '^CNXIT').12","('Volume', '^CNXIT').12","('Sector', '').12","('Close', '^NSEBANK').12","('High', '^NSEBANK').12","('Low', '^NSEBANK').12","('Open', '^NSEBANK').12","('Volume', '^NSEBANK').12","('Close', '^CNXFMCG').12","('High', '^CNXFMCG').12","('Low', '^CNXFMCG').12","('Open', '^CNXFMCG').12","('Volume', '^CNXFMCG').12","('Close', '^CNXAUTO').12","('High', '^CNXAUTO').12","('Low', '^CNXAUTO').12","('Open', '^CNXAUTO').12","('Volume', '^CNXAUTO').12","('Close', '^CNXPHARMA').12","('High', '^CNXPHARMA').12","('Low', '^CNXPHARMA').12","('Open', '^CNXPHARMA').12","('Volume', '^CNXPHARMA').12",daily_return_pct,7d_return_pct,14d_return_pct,momentum_score
2025-12-31,37884.05078125,38108.5,37822.1484375,38051.69921875,20900.0,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02,38320.30078125,38359.0,38085.3984375,38251.3515625,16400.0,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1515400043120794,,,
2026-01-05,37771.1484375,38260.8515625,37365.8984375,38222.0,22000.0,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.433058542219734,,,
2026-01-06,37977.3984375,38053.1015625,37680.69921875,37712.05078125,16600.0,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.546051704891326,,,
2026-01-07,38688.80078125,38736.80078125,37940.8515625,37951.30078125,25100.0,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8732255842136336,,,
2026-01-08,37920.30078125,38728.6484375,37853.75,38686.55078125,24900.0,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9863629383220505,,,
2026-01-09,38027.19921875,38244.55078125,37861.1484375,37861.25,20800.0,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28190292613095025,,,
2026-01-12,37988.25,38079.6015625,37573.1015625,37938.6015625,20200.0,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10242463171149518,0.27504772219757445,,
