Date,Close,High,Low,Open,Volume,Index,"('Date', '')","('Close', '^NSEI')","('High', '^NSEI')","('Low', '^NSEI')","('Open', '^NSEI')","('Volume', '^NSEI')","('Index', '')","('Date', '').1","('Close', '^NSEI').1","('High', '^NSEI').1","('Low', '^NSEI').1","('Open', '^NSEI').1","('Volume', '^NSEI').1","('Index', '').1","('Date', '').2","('Close', '^NSEI').2","('High', '^NSEI').2","('Low', '^NSEI').2","('Open', '^NSEI').2","('Volume', '^NSEI').2","('Index', '').2","('Date', '').3","('Close', '^NSEI').3","('High', '^NSEI').3","('Low', '^NSEI').3","('Open', '^NSEI').3","('Volume', '^NSEI').3","('Index', '').3","('Date', '').4","('Close', '^NSEI').4","('High', '^NSEI').4","('Low', '^NSEI').4","('Open', '^NSEI').4","('Volume', '^NSEI').4","('Index', '').4","('Date', '').5","('Close', '^NSEI').5","('High', '^NSEI').5","('Low', '^NSEI').5","('Open', '^NSEI').5","('Volume', '^NSEI').5","('Index', '').5","('Date', '').6","('Close', '^NSEI').6","('High', '^NSEI').6","('Low', '^NSEI').6","('Open', '^NSEI').6","('Volume', '^NSEI').6","('Index', '').6","('Date', '').7","('Close', '^NSEI').7","('High', '^NSEI').7","('Low', '^NSEI').7","('Open', '^NSEI').7","('Volume', '^NSEI').7","('Index', '').7","('Date', '').8","('Close', '^NSEI').8","('High', '^NSEI').8","('Low', '^NSEI').8","('Open', '^NSEI').8","('Volume', '^NSEI').8","('Index', '').8","('Date', '').9","('Close', '^NSEI').9","('High', '^NSEI').9","('Low', '^NSEI').9","('Open', '^NSEI').9","('Volume', '^NSEI').9","('Index', '').9","('Date', '').10","('Close', '^NSEI').10","('High', '^NSEI').10","('Low', '^NSEI').10","('Open', '^NSEI').10","('Volume', '^NSEI').10","('Index', '').10","('Date', '').11","('Close', '^NSEI').11","('High', '^NSEI').11","('Low', '^NSEI').11","('Open', '^NSEI').11","('Volume', '^NSEI').11","('Index', '').11","('Date', '').12","('Close', '^NSEI').12","('High', '^NSEI').12","('Low', '^NSEI').12","('Open', '^NSEI').12","('Volume', '^NSEI').12","('Index', '').12","('Date', '').13","('Close', '^NSEI').13","('High', '^NSEI').13","('Low', '^NSEI').13","('Open', '^NSEI').13","('Volume', '^NSEI').13","('Index', '').13","('Date', '').14","('Close', '^NSEI').14","('High', '^NSEI').14","('Low', '^NSEI').14","('Open', '^NSEI').14","('Volume', '^NSEI').14","('Index', '').14","('Date', '').15","('Close', '^NSEI').15","('High', '^NSEI').15","('Low', '^NSEI').15","('Open', '^NSEI').15","('Volume', '^NSEI').15","('Index', '').15","('Date', '').16","('Close', '^NSEI').16","('High', '^NSEI').16","('Low', '^NSEI').16","('Open', '^NSEI').16","('Volume', '^NSEI').16","('Index', '').16","('Date', '').17","('Close', '^NSEI').17","('High', '^NSEI').17","('Low', '^NSEI').17","('Open', '^NSEI').17","('Volume', '^NSEI').17","('Index', '').17","('Date', '').18","('Close', '^NSEI').18","('High', '^NSEI').18","('Low', '^NSEI').18","('Open', '^NSEI').18","('Volume', '^NSEI').18","('Index', '').18","('Date', '').19","('Close', '^NSEI').19","('High', '^NSEI').19","('Low', '^NSEI').19","('Open', '^NSEI').19","('Volume', '^NSEI').19","('Index', '').19","('Date', '').20","('Close', '^NSEI').20","('High', '^NSEI').20","('Low', '^NSEI').20","('Open', '^NSEI').20","('Volume', '^NSEI').20","('Index', '').20","('Date', '').21","('Close', '^NSEI').21","('High', '^NSEI').21","('Low', '^NSEI').21","('Open', '^NSEI').21","('Volume', '^NSEI').21","('Index', '').21","('Date', '').22","('Close', '^NSEI').22","('High', '^NSEI').22","('Low', '^NSEI').22","('Open', '^NSEI').22","('Volume', '^NSEI').22","('Index', '').22","('Date', '').23","('Close', '^NSEI').23","('High', '^NSEI').23","('Low', '^NSEI').23","('Open', '^NSEI').23","('Volume', '^NSEI').23","('Index', '').23","('Date', '').24","('Close', '^NSEI').24","('High', '^NSEI').24","('Low', '^NSEI').24","('Open', '^NSEI').24","('Volume', '^NSEI').24","('Index', '').24","('Date', '').25","('Close', '^NSEI').25","('High', '^NSEI').25","('Low', '^NSEI').25","('Open', '^NSEI').25","('Volume', '^NSEI').25","('Index', '').25","('Date', '').26","('Close', '^NSEI').26","('High', '^NSEI').26","('Low', '^NSEI').26","('Open', '^NSEI').26","('Volume', '^NSEI').26","('Index', '').26","('Date', '').27","('Close', '^NSEI').27","('High', '^NSEI').27","('Low', '^NSEI').27","('Open', '^NSEI').27","('Volume', '^NSEI').27","('Index', '').27","('Date', '').28","('Close', '^NSEI').28","('High', '^NSEI').28","('Low', '^NSEI').28","('Open', '^NSEI').28","('Volume', '^NSEI').28","('Index', '').28","('Date', '').29","('Close', '^NSEI').29","('High', '^NSEI').29","('Low', '^NSEI').29","('Open', '^NSEI').29","('Volume', '^NSEI').29","('Index', '').29","('Date', '').30","('Close', '^NSEI').30","('High', '^NSEI').30","('Low', '^NSEI').30","('Open', '^NSEI').30","('Volume', '^NSEI').30","('Index', '').30","('Date', '').31","('Close', '^NSEI').31","('High', '^NSEI').31","('Low', '^NSEI').31","('Open', '^NSEI').31","('Volume', '^NSEI').31","('Index', '').31","('Date', '').32","('Close', '^NSEI').32","('High', '^NSEI').32","('Low', '^NSEI').32","('Open', '^NSEI').32","('Volume', '^NSEI').32","('Index', '').32","('Date', '').33","('Close', '^NSEI').33","('High', '^NSEI').33","('Low', '^NSEI').33","('Open', '^NSEI').33","('Volume', '^NSEI').33","('Index', '').33","('Date', '').34","('Close', '^NSEI').34","('High', '^NSEI').34","('Low', '^NSEI').34","('Open', '^NSEI').34","('Volume', '^NSEI').34","('Index', '').34","('Date', '').35","('Close', '^NSEI').35","('High', '^NSEI').35","('Low', '^NSEI').35","('Open', '^NSEI').35","('Volume', '^NSEI').35","('Index', '').35","('Date', '').36","('Close', '^NSEI').36","('High', '^NSEI').36","('Low', '^NSEI').36","('Open', '^NSEI').36","('Volume', '^NSEI').36","('Index', '').36","('Date', '').37","('Close', '^NSEI').37","('High', '^NSEI').37","('Low', '^NSEI').37","('Open', '^NSEI').37","('Volume', '^NSEI').37","('Index', '').37","('Date', '').38","('Close', '^NSEI').38","('High', '^NSEI').38","('Low', '^NSEI').38","('Open', '^NSEI').38","('Volume', '^NSEI').38","('Index', '').38","('Date', '').39","('Close', '^NSEI').39","('High', '^NSEI').39","('Low', '^NSEI').39","('Open', '^NSEI').39","('Volume', '^NSEI').39","('Index', '').39","('Date', '').40","('Close', '^NSEI').40","('High', '^NSEI').40","('Low', '^NSEI').40","('Open', '^NSEI').40","('Volume', '^NSEI').40","('Index', '').40","('Date', '').41","('Close', '^NSEI').41","('High', '^NSEI').41","('Low', '^NSEI').41","('Open', '^NSEI').41","('Volume', '^NSEI').41","('Index', '').41","('Date', '').42","('Close', '^NSEI').42","('High', '^NSEI').42","('Low', '^NSEI').42","('Open', '^NSEI').42","('Volume', '^NSEI').42","('Index', '').42","('Date', '').43","('Close', '^NSEI').43","('High', '^NSEI').43","('Low', '^NSEI').43","('Open', '^NSEI').43","('Volume', '^NSEI').43","('Index', '').43","('Date', '').44","('Close', '^NSEI').44","('High', '^NSEI').44","('Low', '^NSEI').44","('Open', '^NSEI').44","('Volume', '^NSEI').44","('Index', '').44","('Date', '').45","('Close', '^NSEI').45","('High', '^NSEI').45","('Low', '^NSEI').45","('Open', '^NSEI').45","('Volume', '^NSEI').45","('Index', '').45","('Date', '').46","('Close', '^NSEI').46","('High', '^NSEI').46","('Low', '^NSEI').46","('Open', '^NSEI').46","('Volume', '^NSEI').46","('Index', '').46","('Date', '').47","('Close', '^NSEI').47","('High', '^NSEI').47","('Low', '^NSEI').47","('Open', '^NSEI').47","('Volume', '^NSEI').47","('Index', '').47","('Date', '').48","('Close', '^NSEI').48","('High', '^NSEI').48","('Low', '^NSEI').48","('Open', '^NSEI').48","('Volume', '^NSEI').48","('Index', '').48","('Date', '').49","('Close', '^NSEI').49","('High', '^NSEI').49","('Low', '^NSEI').49","('Open', '^NSEI').49","('Volume', '^NSEI').49","('Index', '').49","('Date', '').50","('Close', '^NSEI').50","('High', '^NSEI').50","('Low', '^NSEI').50","('Open', '^NSEI').50","('Volume', '^NSEI').50","('Index', '').50","('Date', '').51","('Close', '^NSEI').51","('High', '^NSEI').51","('Low', '^NSEI').51","('Open', '^NSEI').51","('Volume', '^NSEI').51","('Index', '').51","('Date', '')","('Close', '^NSEI')","('High', '^NSEI')","('Low', '^NSEI')","('Open', '^NSEI')","('Volume', '^NSEI')","('Index', '')"
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,26129.599609375,26187.94921875,25969.0,25971.05078125,246300,NIFTY 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01,26146.55078125,26197.55078125,26113.400390625,26173.30078125,425600,NIFTY 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-02,26328.55078125,26340.0,26118.400390625,26155.099609375,357500,NIFTY 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,26250.30078125,26373.19921875,26210.05078125,26333.69921875,338800,NIFTY 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,26178.69921875,26273.94921875,26124.75,26189.69921875,383000,NIFTY 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-07,26140.75,26187.150390625,26067.900390625,26143.099609375,338200,NIFTY 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-08,25876.849609375,26133.19921875,25858.44921875,26106.5,328500,NIFTY 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-09,25683.30078125,25940.599609375,25623.0,25840.400390625,348800,NIFTY 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-12,25790.25,25813.150390625,25473.400390625,25669.05078125,275800,NIFTY 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
